         4658 function calls (4644 primitive calls) in 6.893 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.000    0.000 __init__.py:287(compile)
        5    0.000    0.000    0.000    0.000 _connection_base.py:133(__del__)
        1    0.000    0.000    1.495    1.495 manager.py:170(check_interval)
       38    0.000    0.000    0.000    0.000 configparser.py:1083(_handle_continuation_line)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:99(join)
       15    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       36    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       48    0.000    0.000    0.000    0.000 configparser.py:903(optionxform)
        3    0.000    0.000    0.000    0.000 _queries.py:61(convert)
        5    0.000    0.000    0.000    0.000 _cursor_base.py:59(__init__)
        5    0.000    0.000    0.000    0.000 cursor.py:43(__init__)
        5    0.000    0.000    0.000    0.000 selectors.py:284(__init__)
        7    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
       46    0.000    0.000    0.000    0.000 configparser.py:561(__init__)
       20    0.000    0.000    0.000    0.000 configparser.py:1178(_unify_values)
       59    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       46    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        5    0.000    0.000    0.000    0.000 _connection_base.py:269(adapters)
       15    0.000    0.000    0.000    0.000 <frozen os>:785(encodekey)
        3    0.000    0.000    0.000    0.000 _cursor_base.py:451(_convert_query)
       15    0.000    0.000    0.000    0.000 _conninfo_utils.py:24(split_val)
        1    0.000    0.000    1.029    1.029 manager.py:153(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        5    0.000    0.000    0.000    0.000 conninfo.py:126(timeout_from_conninfo)
        1    0.000    0.000    0.000    0.000 uuid.py:142(__init__)
        3    0.000    0.000    0.000    0.000 _encodings.py:82(conn_encoding)
        2    0.000    0.000    0.000    0.000 configparser.py:327(_raise_all)
        1    0.000    0.000    1.495    1.495 pp.py:155(get_last_operations_from_db)
        3    0.000    0.000    0.000    0.000 _preparing.py:57(get)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 pp.py:161(_load_query)
        3    0.000    0.000    0.000    0.000 _preparing.py:157(validate)
        2    0.000    0.000    0.002    0.001 configparser.py:1031(_read)
        3    0.000    0.000    1.390    0.463 connection.py:386(wait)
        3    0.000    0.000    0.000    0.000 _connection_base.py:542(_get_tx_start_command)
        5    0.000    0.000    0.000    0.000 selectors.py:272(close)
       48    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
